FONTE;GRUPO ;PAYER ACCOUNT ID;LINKED ACCOUNT ID;ACCOUNT NAME;CÓDIGO ODIN;ASSINATURA ODIN;CLIENTE;CLIENTE UNIFICADO;POC;DIVISÃO;MULTICLOUD;CATEGORIA;CONTA;NUVEM;Receita;SUBCATEGORIA;TIPO DE COBRANÇA;CLIENTE;CLE;CNPJ;NOME CLIENTE;CÓDIGO ODIN;ASSINATURA ODIN;Payer AccountId;Cliente;CONTRATO PMC
CONSUMO AZURE;CSP;;78337027-f69f-49d6-bbdd-b540e24ec4b3;DATORA TELECOMUNICACOES LTDA;1116890;1306296;ARQIA;ARQIA;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;ARQIA;2344592360002;58.391.295/0001-54;ARQIA PARTICIPACOES E SERVICOS LTDA;1116890;1306296;0;ARQIA;1116890
CONSUMO AZURE;CSP;;f71ca44a-af3c-4a0a-adba-77ae39d35c81;Fockink Ind;1002077;1345406;FOCKINK;FOCKINK;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;FOCKINK;20718090003;03.021.334/0001-30;FOCKINK INDUSTRIAS ELETRICAS LTDA;1002077;1345406;0;FOCKINK;1002077
CONSUMO AZURE;CSP;;2d68fece-c5d1-470a-a1b2-299ef25b5a63;HITSS DO BRASIL SERVIÃ‡OS TECNOLOGICOS LTDA;1036514;1270529;HITSS;HITSS;NÃO;EBT;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Intercompany;Intercompany;HITSS; ; ;;1036514;1270529;0;HITSS;1036514
CONSUMO AZURE;CSP;;723fa6e9-3db4-40dc-b13e-9c48302c7a92;1036514 - PRIMESYS SOLUCOES EMPRESARIAIS - globalhitss4azarc;1036514;1270529;HITSS;HITSS;NÃO;EBT;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Intercompany;Intercompany;HITSS; ; ;;1036514;1270529;0;HITSS;1036514
CONSUMO AZURE;CSP;;c17b4a9e-bf17-4838-8ab1-92b0dfd70943;1036514 - PRIMESYS SOLUCOES EMPRESARIAIS - PROD;1036514;Não tem;PRIMESYS;PRIMESYS;NÃO;CORP;SIM;002 - Intercompany;CSP;CSP;Sem Receita;Cliente;Odin;PRIMESYS;80149933108;40.432.544/0531-86;PRIMESYS SOLUCOES EMPRESARIAIS - PRODUTOS;1036514;Não tem;0;PRIMESYS;1036514
CONSUMO AZURE;CSP;;ac8c8faa-a019-4a9b-a037-255efa0105d8;1036514 - PRIMESYS SOLUCOES EMPRESARIAIS - PRODUTO;1036514;Não tem;PRIMESYS;PRIMESYS;NÃO;CORP;SIM;002 - Intercompany;CSP;CSP;Sem Receita;Cliente;Odin;PRIMESYS;80149933108;40.432.544/0531-86;PRIMESYS SOLUCOES EMPRESARIAIS - PRODUTOS;1036514;Não tem;0;PRIMESYS;1036514
CONSUMO AZURE;CSP;;d6c7d4eb-ad17-46c8-a404-f6a92cbead96;HITSS DO BRASIL SERVIÃ‡OS TECNOLOGICOS LTDA;1036514;1270529;HITSS;HITSS;NÃO;EBT;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Intercompany;Intercompany;HITSS; ; ;;1036514;1270529;0;HITSS;1036514
CONSUMO AZURE;CSP;;cd31e542-b1dd-493b-93ff-765ac6b579b6;SASCAR - TECNOLOGIA E SEGURANCA AUTOMOTIVA S/A;1088758;Não tem;SASCAR;SASCAR;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;SASCAR;85955950007;03.112.879/0001-51;SASCAR - TECNOLOGIA E SEGURANCA AUTOMOTIVA S/A;1088758;Não tem;0;SASCAR;1088758
CONSUMO AZURE;CSP;;f32c8146-e2f7-4f29-8c04-3a4596857c5a;MIRA OTM TRANSPORTES LTDA;1133727;1287807;MIRA OTM;MIRA OTM;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MIRA OTM;84722250040;58.506.155/0001-84;MIRA OTM TRANSPORTES LTDA;1133727;1287807;0;MIRA OTM;1133727
CONSUMO AZURE;CSP;;df3c511f-a6c6-4453-b9a6-5e47b02514b2;MULTILINK TECNOLOGIA;1149463;1286713;MULTILINK;MULTILINK;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MULTILINK;2365988170003;59.643.794/0001-54;MULTIPAGAMENTOS SERVICOS DIGITAIS;1149463;1286713;0;MULTILINK;1149463
CONSUMO AZURE;CSP;;50e58a98-f106-44e3-8e88-906802cc9dab;Central Nacional Unimed;1138471;1305960;UNIMED NACIONAL;UNIMED NACIONAL;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;UNIMED NACIONAL;86107900040;02.812.468/0001-06;UNIMED NACIONAL COOPERATIVA CENTRAL;1138471;1305960;0;UNIMED NACIONAL;1138471
CONSUMO AZURE;CSP;;d511aacd-8b6e-4fe1-8773-9724e26e88a3;MinistÃ©rio PÃºblico do Trabalho;Não tem;Não tem;MP DO TRABALHO SENTINEL;MP DO TRABALHO;NÃO;SEG;SIM;;CSP;CSP;Sem Receita;Cliente;Odin;MP DO TRABALHO SENTINEL;;;;Não tem;Não tem;0;MP DO TRABALHO SENTINEL;Não tem
CONSUMO AZURE;CSP;;534dec8a-6b85-4b6d-a007-03d789a083a4;SOC Claro Empresas;1050619;1274108;CLARO;CLARO;NÃO;EBT;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Cliente;Odin;CLARO; ; ;;1050619;1274108;0;CLARO;1050619
CONSUMO AZURE;CSP;;847fd7a8-9389-41bc-ad0e-279cf02d3915;Caixa Residencial;Não tem;Não tem;CAIXA RESIDENCIAL SENTINEL;CAIXA RESIDENCIAL;NÃO;SEG;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Cliente;Odin;CAIXA RESIDENCIAL SENTINEL; ; ;;Não tem;Não tem;0;CAIXA RESIDENCIAL SENTINEL;Não tem
CONSUMO AZURE;CSP;;ebf8ae78-8ea5-4148-8364-70d392b2a35d;Marjan Industria e Comercio Ltda.;1117566;1350675;MARJAN;MARJAN;SIM;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MARJAN;4035330005;60.726.692/0001-81;MARJAN INDUSTRIA E COMERCIO LTDA;1117566;1350675;0;MARJAN;1117566
CONSUMO AZURE;CSP;;02dc11f2-989a-47d5-9588-e7be3a5e70c0;ClaroPay;1050619;1274108;CLARO;CLARO;NÃO;EBT;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Cliente;Odin;CLARO;;;;1050619;1274108;0;CLARO;1050619
CONSUMO AZURE;CSP;;51bde61e-d7ad-4895-a50b-2216ae6f9816;Marjan Industria e Comercio Ltda;1117566;1350675;MARJAN SENTINEL;MARJAN;SIM;SEG;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MARJAN SENTINEL;4035330005;60.726.692/0001-81;MARJAN INDUSTRIA E COMERCIO LTDA;1117566;1350675;0;MARJAN SENTINEL;1117566
CONSUMO AZURE;CSP;;62d04381-4f74-4de6-9d34-e87cd2db57df;Comando da Aeronautica;1136199;Não tem;COMANDO DA AERONAUTICA SENTINEL;COMANDO DA AERONAUTICA;SIM;SEG;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;COMANDO DA AERONAUTICA SENTINEL;1155740769;00.394.429/0179-33;COMANDO DA AERONAUTICA;1136199;Não tem;;COMANDO DA AERONAUTICA SENTINEL;1136199
